product_id,product_name,category,actual_value_dollar,discount_percentage,rating,rating_count,user_id,product_link
B08G28Z33M,realme Buds Classic Wired in Ear Earphones with Mic (Black),"Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",8.63,0.43,4.0,37.817,"AGB2L4VZFZQISJ44XSXNEQOKSTVQ,AHQDTRQWUS5MPV5MBLSB6HTSJ52A,AH5GUOO3UWAKJD7PAMTZ6UUEYRPQ,AGKSB547ASUKUVCC4SCHFKIH7XWQ,AHWXPJ2XKKVRT2AQLZKFXMQFJLWQ,AGCVMGZJMOJNXWMAAEQPG4KMLGUA,AGRREQL2U4HCQ6K7METWAYVM355Q,AFUGCO26OHJAF7LMREGYHPS2MMOQ",https://www.amazon.in/realme-Classic-Wired-Earphones-Microphone/dp/B08G28Z33M/ref=sr_1_58?qid=1672895762&s=electronics&sr=1-58
B09PNKXSKF,"Noise ColorFit Pulse Grand Smart Watch with 1.69"" HD Display, 60 Sports Modes, 150 Watch Faces, Spo2 Monitoring, Call Notification, Quick Replies to Text & Calls (Rose Pink)",Electronics|WearableTechnology|SmartWatches,49.26,0.5,4.0,30.254,"AF3JE3MHGVCOATHASUTMN3VGF3UQ,AEDSNOOD2D6SJAET2BTNBHLV2SSA,AGGTMAPT4WBWP2C62I6CGW22QNCA,AGC6NVLEXXVXAOMXP46RL2622EBA,AFMZPE7XRDTD4DOUAAMZOME6HG7A,AFOTHR4JPCQC4JXBR3WV4C6T5XHQ,AHHA3DXLSJ3LS57KWW56FPPV4OKA,AEJMCBDH3VXRL4SPYOC23J4OG6OA",https://www.amazon.in/Noise-ColorFit-Display-Monitoring-Smartwatches/dp/B09PNKXSKF/ref=sr_1_59?qid=1672895762&s=electronics&sr=1-59
B0B5DDJNH4,"boAt Wave Call Smart Watch, Smart Talk with Advanced Dedicated Bluetooth Calling Chip, 1.69” HD Display with 550 NITS & 70% Color Gamut, 150+ Watch Faces, Multi-Sport Modes, HR, SpO2, IP68(Mauve)",Electronics|WearableTechnology|SmartWatches,98.64,0.75,3.8,17.831,"AHPYDFW6Y3FIQGD2RJPBFF5QNVRQ,AG7DTVYZDY2NWU6V2G4KSIB67TDA,AHNQJPSI4I23HHMRHCCCI7QOBK7A,AHPOQQONRLZMHYLDKYP5SQOKRIEA,AGDD5ACY3AGTMTVBQOC3DMUR6REA,AFZV4ISJSNGDUD5TU3VYMTYQ5JGA,AGKPRGZCV5XK7ZNVLQWUGRB6CVVQ,AE7DX25DQCE7MXLEASO6I3YLWHRQ",https://www.amazon.in/boAt-Wave-Call-Dedicated-Multi-Sport/dp/B0B5DDJNH4/ref=sr_1_60?qid=1672895762&s=electronics&sr=1-60
B08HDJ86NZ,"boAt Deuce USB 300 2 in 1 Type-C & Micro USB Stress Resistant, Tangle-Free, Sturdy Cable with 3A Fast Charging & 480mbps Data Transmission, 10000+ Bends Lifespan and Extended 1.5m Length(Martian Red)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,8.63,0.53,4.2,94.364,"AEWAZDZZJLQUYVOVGBEUKSLXHQ5A,AG5HTSFRRE6NL3M5SGCUQBP7YSCA,AH725ST5NW2Y4JZPKUNTIJCUK2BA,AHV3TXIFCJPMS4D5JATCEUR266MQ,AGWIGDEMFIIUAOXYY2QATNBSUGHA,AFSTSLQUV4EVEXWKBOLEFHL2H5YQ,AGAKDNBHY2FKX7I4ACRGILU7QL7A,AFNWJUWJRHCC6HN52KMG5AKZY37Q",https://www.amazon.in/Deuce-300-Resistant-Tangle-Free-Transmission/dp/B08HDJ86NZ/ref=sr_1_61?qid=1672895762&s=electronics&sr=1-61
B08CF3B7N1,"Portronics Konnect L 1.2M Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function for iPhone, iPad (Grey)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,4.93,0.61,4.2,16.905,"AE3Q6KSUK5P75D5HFYHCRAOLODSA,AFUGIFH5ZAFXRDSZHM4QB2KPKFUQ,AFK4NJOLFSJGWLOJIUIAROJF6YVA,AFUOTYRFUXVPEBGIXVZZ7DR3CZUA,AFDLRSXKDZ6U3U3KD46SQLFGZQRA,AH5VLM66SIK7J3IRG4NY7XVOQ55A,AE3MQNNHHLUHXURL5S7IAR7JTGNQ,AFSEOFZY67MYC7UAJU264Z5NFTLA",https://www.amazon.in/Portronics-Konnect-POR-1080-Charging-Function/dp/B08CF3B7N1/ref=sr_1_62?qid=1672895762&s=electronics&sr=1-62
B07WDKLDRX,"iQOO Neo 6 5G (Dark Nova, 8GB RAM, 128GB Storage) | Snapdragon® 870 5G | 80W FlashCharge",Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,432.09,0.17,4.4,20.311,"AFLMOZFV4PMKSM3JHJ7ITUT6OVBA,AE2TS2DBYLAJ5WY6FFWFNXFY24SQ",https://www.amazon.in/iQOO-128GB-Storage-Snapdragon%C2%AE-FlashCharge/dp/B07WDKLDRX/ref=sr_1_63?qid=1672895762&s=electronics&sr=1-63
B09MQSCJQ1,"boAt Xtend Smartwatch with Alexa Built-in, 1.69” HD Display, Multiple Watch Faces, Stress Monitor, Heart & SpO2 Monitoring, 14 Sports Modes, Sleep Monitor, 5 ATM & 7 Days Battery(Charcoal Black)",Electronics|WearableTechnology|SmartWatches,98.64,0.71,4.2,69.622,"AFBVVELP4GVFVUNT2JCI5JHVGRWQ,AGN6VHI3RRN2EETVG2K6AU54UJ2Q,AEGXNXBUADLS35GCQLX7K5EIFU2A,AGRLRL4UJ4K36QPX6NY4X5ZETZEA,AFB7KATBZJ56CDSFNRN5GVI5WLWA,AEQLEDKX266NBPOVEJSVR35XNFYA,AH4EQ3AD64V4T45VEG3L4LK7IGQA,AH4EGLGTSXX4GYBAOERNBPVIKD6A",https://www.amazon.in/boAt-Display-Multiple-Monitoring-Charcoal/dp/B09MQSCJQ1/ref=sr_1_64?qid=1672895762&s=electronics&sr=1-64
B094YFFSMY,"Tygot Bluetooth Extendable Selfie Sticks with Wireless Remote and Tripod Stand, 3-in-1 Multifunctional Selfie Stick with Tripod Stand Compatible with iPhone/OnePlus/Samsung/Oppo/Vivo and All Phones",Electronics|Mobiles&Accessories|MobileAccessories|Photo&VideoAccessories|SelfieSticks,24.68,0.8,4.0,3.382,"AHTVBHRLCBX5E5GBPONFYZLCNBGQ,AEXRBZRUCAA7B3P4I2W344GKKEKQ,AGCRWVPOVID3SCYSXUIFZNEVZ5KQ,AFLG2PW5COQFF4ALCTWAHMWQ5XBQ,AGTYNRS4BMV64TFKAWN5BGOC3RLQ,AH4SGJXQP3YL7ZSOBVDVA6EF6NNQ,AEE6GBKI25S2XX77PN4SZTH7KWTQ,AFQREO7QQWGS5QZYY2VUNQKV5VPA",https://www.amazon.in/Tygot-Bluetooth-Extendable-Multifunctional-Compatible/dp/B094YFFSMY/ref=sr_1_65?qid=1672895762&s=electronics&sr=1-65
B09MT84WV5,"Samsung EVO Plus 128GB microSDXC UHS-I U3 130MB/s Full HD & 4K UHD Memory Card with Adapter (MB-MC128KA), Blue",Electronics|Accessories|MemoryCards|MicroSD,49.37,0.71,4.3,,"AGKL2QQZYTI6LCC4CDJEGIV3EDUQ,AGFI73CMZKYLOYXJFEQBOGGVTTMA,AELXR5NQFM7D6VMAQLQ75LZKBRQA,AEOFVQUVTVP7AU7TM7IZBXJC3NOA,AHG33QRWJPAIDBY3URAHOVO67T5A,AEWCPYNJLQRK7UW54HDWPA45R6SA,AHLDP6L4GQIF7MJWWMNALXNQXYEQ,AG5TXJG5DJ554EJX2GMQL67ZCP2Q",https://www.amazon.in/Samsung-microSDXC-Memory-Adapter-MB-MC128KA/dp/B09MT84WV5/ref=sr_1_66?qid=1672895762&s=electronics&sr=1-66
B08VS3YLRK,"Portronics Adapto 20 Type C 20W Fast PD/Type C Adapter Charger with Fast Charging for iPhone 12/12 Pro/12 Mini/12 Pro Max/11/XS/XR/X/8/Plus, iPad Pro/Air/Mini, Galaxy 10/9/8 (Adapter Only) White",Electronics|Mobiles&Accessories|MobileAccessories|Chargers|WallChargers,18.51,0.65,4.1,8.599,"AE5X7F5K6HASKKQZGUJEF3VZFRRQ,AEKVSWRDHUU76ES43EFWKAWTDYGQ,AF2CYQ4QUO4JYJDIRRB5R3YZHYCA,AGXAFZHSGPYKI3IF3CUMM3FKCT3A,AF5H5CZXXSPIJL6A7CRZRJQPMJWQ,AFMFLXBICTWGULWCOSXF6BRBQCNQ,AHUVRK6VJOSRKW2RAD6PXS4YVCUA,AGP365OHRJ23BJZKPU3GJ7NVQHVA",https://www.amazon.in/Portronics-Adapto-Adapter-Charger-Charging/dp/B08VS3YLRK/ref=sr_1_67?qid=1672895762&s=electronics&sr=1-67
B0B4F3QNDM,"Samsung Galaxy M13 5G (Aqua Green, 6GB, 128GB Storage) | 5000mAh Battery | Upto 12GB RAM with RAM Plus",Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,240.73,0.28,4.1,18.998,"AGAELRYPMTG5SADZPDYB343EASAA,AGFN4JODOM2NTFCJQOHDBQLVDJTQ,AG7EZVSAXIVGMNDLSA55K7URQCJA,AGGF75HIEMB67OU7J3RDALBSUKQQ,AHY5CI4SU6JBYPIZ5RLAGO6W3F4A,AE4KODNBVTDCZWZO4HZM4GTRERPA,AH6HFHSYOY2OHMODD7244DHG7FUQ,AHRW5JERWYAJCZO65PDKZSOEPR6Q",https://www.amazon.in/Samsung-Galaxy-Storage-5000mAh-Battery/dp/B0B4F3QNDM/ref=sr_1_68?qid=1672895762&s=electronics&sr=1-68
B07GQD4K6L,boAt Bassheads 100 in Ear Wired Earphones with Mic(Furious Red),"Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",12.33,0.62,4.1,,"AF4MVO4JNFDEPWFKZO62OAJKRIWA,AHVPAXEWPATRASBKHOBI2I3VRLGQ,AE47PRQCNT3YFSESBLAJOH6MSCFA,AGUOSXCR3PDNC2K4X7O7QNRGPAWQ,AH5L6KKTP5ZQSN6GVQB4ZGXOM2DA,AEP5OZFTG32NCC34GCOBFO24W6RA,AEQXLMRCT4ZS65M3ST5YV6AOZG7Q,AHZXKAGAJPIMZJD5XJ5QUIYR3ORA",https://www.amazon.in/Boat-BassHeads-100-Inspired-Earphones/dp/B07GQD4K6L/ref=sr_1_69?qid=1672895762&s=electronics&sr=1-69
